word,ipa,parameter,description,alternative,comment,translation,glottocode,source
"-no, -nee",,1sg_a,1st singular transitive subject,,,,ayiw1239,"Malcolm Ross and Åshild Næss. 2007. An Oceanic Origin for Äiwoo, the Language of the Reef Islands?. Oceanic Linguistics 46. 456-498."
i-,,1sg_s,1st singular intransitive subject,,,,ayiw1239,Næss 2006
iu,,1sg_o,1st singular transitive object,,,,ayiw1239,
∅,,1sg_p,1st singular possessive,,,,ayiw1239,
-ji,,12du_a,1st dual inclusive transitive subject,,,,ayiw1239,
ji-,,12du_s,1st dual inclusive intransitive subject,,,,ayiw1239,
"-ji, iuji",,12du_o,1st dual inclusive transitive object,,,,ayiw1239,
-ji,,12du_p,1st dual inclusive possessive,,,,ayiw1239,
-ŋopu,,1du_a,1st dual exclusive transitive subject,,,,ayiw1239,
me- -le,,1du_s,1st dual exclusive intransitive subject,,,,ayiw1239,
"iungole, -ŋopule",,1du_o,1st dual exclusive transitive object,,,,ayiw1239,
-ŋole,,1du_p,1st dual exclusive possessive,,,,ayiw1239,
-de,,12pl_a,1st plural inclusive transitive subject,,,,ayiw1239,
"de-, de- -le",,12pl_s,1st plural inclusive intransitive subject,,"de- = 1+2 augmented, ""de- -le"" = 1+2 unit augmented",,ayiw1239,
"-de, -dele, iude, iudele",,12pl_o,1st plural inclusive transitive object,,"iude, ""-de"" = 1+2 augmented, ""iudele"", ""-dele"" = 1+2min augmented",,ayiw1239,
"-de, -dele",,12pl_p,1st plural inclusive possessive,,"-de = 1+2 augmented, ""-dele"" = 1+2 unit augmented",,ayiw1239,
"-ŋo, -ŋopu",,1pl_a,1st plural exclusive transitive subject,,,,ayiw1239,
me-,,1pl_s,1st plural exclusive intransitive subject,,,,ayiw1239,
"iuŋo, iuŋopu",,1pl_o,1st plural exclusive transitive object,,,,ayiw1239,
-ŋo,,1pl_p,1st plural exclusive possessive,,,,ayiw1239,
-mu,,2sg_a,2nd singular transitive subject,,,,ayiw1239,
"mu-, mi-",,2sg_s,2nd singular intransitive subject,,,,ayiw1239,
"-mu, iumu",,2sg_o,2nd singular transitive object,,,,ayiw1239,
-mu,,2sg_p,2nd singular possessive,,,,ayiw1239,
-mile,,2du_a,2nd dual transitive subject,,,,ayiw1239,
mi- -le,,2du_s,2nd dual intransitive subject,,,,ayiw1239,
"-mile, imile",,2du_o,2nd dual transitive object,,,,ayiw1239,
-mile,,2du_p,2nd dual possessive,,,,ayiw1239,
-mi,,2pl_a,2nd plural transitive subject,,,,ayiw1239,
mi-,,2pl_s,2nd plural intransitive subject,,,,ayiw1239,
"-mi, imi",,2pl_o,2nd plural transitive object,,,,ayiw1239,
-mi,,2pl_p,2nd plural possessive,,,,ayiw1239,
-gu,,3sg_m_a,3rd singular gender1 transitive subject,,,,ayiw1239,
∅,,3sg_m_s,3rd singular gender1 intransitive subject,,,,ayiw1239,
"inâ, ine",,3sg_m_o,3rd singular gender1 transitive object,,,,ayiw1239,
∅,,3sg_m_p,3rd singular gender1 possessive,,,,ayiw1239,
-gu,,3sg_f_a,3rd singular gender2 transitive subject,,,,ayiw1239,
∅,,3sg_f_s,3rd singular gender2 intransitive subject,,,,ayiw1239,
inâ,,3sg_f_o,3rd singular gender2 transitive object,,,,ayiw1239,
∅,,3sg_f_p,3rd singular gender2 possessive,,,,ayiw1239,
-ile,,3d-a,3rd dual transitive subject,,,,ayiw1239,
"lu- -le, li- -le",,3d-s,3rd dual intransitive subject,,,,ayiw1239,
"-ile, ijiile",,3d-o,3rd dual transitive object,,,,ayiw1239,
-ile,,3d-p,3rd dual possessive,,,,ayiw1239,
-i,,3p-a,3rd plural transitive subject,,,,ayiw1239,
"lu-, li-",,3p-s,3rd plural intransitive subject,,,,ayiw1239,
"-i, ijii",,3p-o,3rd plural transitive object,,,,ayiw1239,
-i,,3p-p,3rd plural possessive,,,,ayiw1239,
