word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
in,,1sg_a,1st singular transitive subject,,,,,biga1238,Remijsen2001Wordpros
in,,1sg_s,1st singular intransitive subject,,,,,biga1238,Remijsen2001Wordpros
in,,1sg_o,1st singular transitive object,,,,,biga1238,Remijsen2001Wordpros
-k,,1sg_p,1st singular possessive,,,,,biga1238,Remijsen2001Wordpros
itbana,,12du_a,1st dual inclusive transitive subject,,,,,biga1238,Remijsen2001Wordpros
itbana,,12du_s,1st dual inclusive intransitive subject,,,,,biga1238,Remijsen2001Wordpros
itbana,,12du_o,1st dual inclusive transitive object,,,,,biga1238,Remijsen2001Wordpros
-un,,12du_p,1st dual inclusive possessive,,,,,biga1238,Remijsen2001Wordpros
ambana,,1du_a,1st dual exclusive transitive subject,,,,,biga1238,Remijsen2001Wordpros
ambana,,1du_s,1st dual exclusive intransitive subject,,,,,biga1238,Remijsen2001Wordpros
ambana,,1du_o,1st dual exclusive transitive object,,,,,biga1238,Remijsen2001Wordpros
-um,,1du_p,1st dual exclusive possessive,,,,,biga1238,Remijsen2001Wordpros
itbana,,12pl_a,1st plural inclusive transitive subject,,,,,biga1238,Remijsen2001Wordpros
itbana,,12pl_s,1st plural inclusive intransitive subject,,,,,biga1238,Remijsen2001Wordpros
itbana,,12pl_o,1st plural inclusive transitive object,,,,,biga1238,Remijsen2001Wordpros
-un,,12pl_p,1st plural inclusive possessive,,,,,biga1238,Remijsen2001Wordpros
ambana,,1pl_a,1st plural exclusive transitive subject,,,,,biga1238,Remijsen2001Wordpros
ambana,,1pl_s,1st plural exclusive intransitive subject,,,,,biga1238,Remijsen2001Wordpros
ambana,,1pl_o,1st plural exclusive transitive object,,,,,biga1238,Remijsen2001Wordpros
-um,,1pl_p,1st plural exclusive possessive,,,,,biga1238,Remijsen2001Wordpros
awa,,2sg_a,2nd singular transitive subject,,,,,biga1238,Remijsen2001Wordpros
awa,,2sg_s,2nd singular intransitive subject,,,,,biga1238,Remijsen2001Wordpros
awa,,2sg_o,2nd singular transitive object,,,,,biga1238,Remijsen2001Wordpros
-um,,2sg_p,2nd singular possessive,,,,,biga1238,Remijsen2001Wordpros
mimbana,,2du_a,2nd dual transitive subject,,,,,biga1238,Remijsen2001Wordpros
mimbana,,2du_s,2nd dual intransitive subject,,,,,biga1238,Remijsen2001Wordpros
mimbana,,2du_o,2nd dual transitive object,,,,,biga1238,Remijsen2001Wordpros
-um,,2du_p,2nd dual possessive,,,,,biga1238,Remijsen2001Wordpros
mimbana,,2pl_a,2nd plural transitive subject,,,,,biga1238,Remijsen2001Wordpros
mimbana,,2pl_s,2nd plural intransitive subject,,,,,biga1238,Remijsen2001Wordpros
