word,ipa,parameter,description,alternative,comment,translation,glottocode,source
āwⁿ,,1sg_a,1st singular transitive subject,,,,jaun1243,Satish1990
āwⁿ,,1sg_s,1st singular intransitive subject,,,,jaun1243,Satish1990
m U,,1sg_o,1st singular transitive object,,,,jaun1243,Satish1990
merā,,1sg_p,1st singular possessive,,,,jaun1243,Satish1990
ām,,12du_a,1st dual inclusive transitive subject,,,,jaun1243,Satish1990
ām,,12du_s,1st dual inclusive intransitive subject,,,,jaun1243,Satish1990
āmU,,12du_o,1st dual inclusive transitive object,,,,jaun1243,Satish1990
amārā,,12du_p,1st dual inclusive possessive,,,,jaun1243,Satish1990
ām,,1du_a,1st dual exclusive transitive subject,,,,jaun1243,Satish1990
ām,,1du_s,1st dual exclusive intransitive subject,,,,jaun1243,Satish1990
āmU,,1du_o,1st dual exclusive transitive object,,,,jaun1243,Satish1990
amārā,,1du_p,1st dual exclusive possessive,,,,jaun1243,Satish1990
ām,,12pl_a,1st plural inclusive transitive subject,,,,jaun1243,Satish1990
ām,,12pl_s,1st plural inclusive intransitive subject,,,,jaun1243,Satish1990
āmU,,12pl_o,1st plural inclusive transitive object,,,,jaun1243,Satish1990
amārā,,12pl_p,1st plural inclusive possessive,,,,jaun1243,Satish1990
ām,,1pl_a,1st plural exclusive transitive subject,,,,jaun1243,Satish1990
ām,,1pl_s,1st plural exclusive intransitive subject,,,,jaun1243,Satish1990
āmU,,1pl_o,1st plural exclusive transitive object,,,,jaun1243,Satish1990
amārā,,1pl_p,1st plural exclusive possessive,,,,jaun1243,Satish1990
tu,,2sg_a,2nd singular transitive subject,,,,jaun1243,Satish1990
tu,,2sg_s,2nd singular intransitive subject,,,,jaun1243,Satish1990
tāwⁿ,,2sg_o,2nd singular transitive object,,,,jaun1243,Satish1990
terā,,2sg_p,2nd singular possessive,,,,jaun1243,Satish1990
tUm,,2du_a,2nd dual transitive subject,,,,jaun1243,Satish1990
tUm,,2du_s,2nd dual intransitive subject,,,,jaun1243,Satish1990
tUmU,,2du_o,2nd dual transitive object,,,,jaun1243,Satish1990
tUmārā,,2du_p,2nd dual possessive,,,,jaun1243,Satish1990
tUm,,2pl_a,2nd plural transitive subject,,,,jaun1243,Satish1990
tUm,,2pl_s,2nd plural intransitive subject,,,,jaun1243,Satish1990
tUmU,,2pl_o,2nd plural transitive object,,,,jaun1243,Satish1990
tUmārā,,2pl_p,2nd plural possessive,,,,jaun1243,Satish1990
sojā,,3sg_m_a,3rd singular gender1 transitive subject,,,,jaun1243,Satish1990
sojā,,3sg_m_s,3rd singular gender1 intransitive subject,,,,jaun1243,Satish1990
tEs,,3sg_m_o,3rd singular gender1 transitive object,,,,jaun1243,Satish1990
tEskā,,3sg_m_p,3rd singular gender1 possessive,,,,jaun1243,Satish1990
sojI,,3sg_f_a,3rd singular gender2 transitive subject,,,,jaun1243,Satish1990
sojI,,3sg_f_s,3rd singular gender2 intransitive subject,,,,jaun1243,Satish1990
tyāⁿ,,3sg_f_o,3rd singular gender2 transitive object,,,,jaun1243,Satish1990
tyāⁿkā,,3sg_f_p,3rd singular gender2 possessive,,,,jaun1243,Satish1990
soje,,3d-a,3rd dual transitive subject,,,,jaun1243,Satish1990
soje,,3d-s,3rd dual intransitive subject,,,,jaun1243,Satish1990
tiwⁿ,,3d-o,3rd dual transitive object,,,,jaun1243,Satish1990
tiwⁿka,,3d-p,3rd dual possessive,,,,jaun1243,Satish1990
soje,,3p-a,3rd plural transitive subject,,,,jaun1243,Satish1990
soje,,3p-s,3rd plural intransitive subject,,,,jaun1243,Satish1990
tiwⁿ,,3p-o,3rd plural transitive object,,,,jaun1243,Satish1990
tiwⁿka,,3p-p,3rd plural possessive,,,,jaun1243,Satish1990
