word,ipa,parameter,description,alternative,comment,translation,glottocode,source
"main, mán, má",,1sg_a,1st singular transitive subject,,,,jadg1238,Burton1849
"main, mán, má",,1sg_s,1st singular intransitive subject,,,,jadg1238,Burton1849
"mekon, menkon, mainkon, menún, mudhanún",,1sg_o,1st singular transitive object,,,,jadg1238,Burton1849
"merá, medá, mendá, mudhadá",,1sg_p,1st singular possessive,,,,jadg1238,Burton1849
"asin, asán",,12du_a,1st dual inclusive transitive subject,,,,jadg1238,Burton1849
"asin, asán",,12du_s,1st dual inclusive intransitive subject,,,,jadg1238,Burton1849
"asánún, sánún",,12du_o,1st dual inclusive transitive object,,,,jadg1238,Burton1849
"assándá, ádá, asédá, sádá",,12du_p,1st dual inclusive possessive,,,,jadg1238,Burton1849
"asin, asán",,1du_a,1st dual exclusive transitive subject,,,,jadg1238,Burton1849
"asin, asán",,1du_s,1st dual exclusive intransitive subject,,,,jadg1238,Burton1849
"asánún, sánún",,1du_o,1st dual exclusive transitive object,,,,jadg1238,Burton1849
"assándá, ádá, asédá, sádá",,1du_p,1st dual exclusive possessive,,,,jadg1238,Burton1849
"asin, asán",,12pl_a,1st plural inclusive transitive subject,,,,jadg1238,Burton1849
"asin, asán",,12pl_s,1st plural inclusive intransitive subject,,,,jadg1238,Burton1849
"asánún, sánún",,12pl_o,1st plural inclusive transitive object,,,,jadg1238,Burton1849
"assándá, ádá, asédá, sádá",,12pl_p,1st plural inclusive possessive,,,,jadg1238,Burton1849
"asin, asán",,1pl_a,1st plural exclusive transitive subject,,,,jadg1238,Burton1849
"asin, asán",,1pl_s,1st plural exclusive intransitive subject,,,,jadg1238,Burton1849
"asánún, sánún",,1pl_o,1st plural exclusive transitive object,,,,jadg1238,Burton1849
"assándá, ádá, asédá, sádá",,1pl_p,1st plural exclusive possessive,,,,jadg1238,Burton1849
"tún, ten",,2sg_a,2nd singular transitive subject,,,,jadg1238,Burton1849
"tún, ten",,2sg_s,2nd singular intransitive subject,,,,jadg1238,Burton1849
"tenú, tunnún, tuhnún, tudhanún, tenkon",,2sg_o,2nd singular transitive object,,,,jadg1238,Burton1849
"tedá, terá, tendá, tondá, taudá, taundá, tudhadá",,2sg_p,2nd singular possessive,,,,jadg1238,Burton1849
"tusín, tusán",,2du_a,2nd dual transitive subject,,,,jadg1238,Burton1849
"tusín, tusán",,2du_s,2nd dual intransitive subject,,,,jadg1238,Burton1849
"tusánun, tuhánún, thwánún",,2du_o,2nd dual transitive object,,,,jadg1238,Burton1849
"tusádá, tuhádá, thwádá",,2du_p,2nd dual possessive,,,,jadg1238,Burton1849
"tusín, tusán",,2pl_a,2nd plural transitive subject,,,,jadg1238,Burton1849
"tusín, tusán",,2pl_s,2nd plural intransitive subject,,,,jadg1238,Burton1849
"tusánun, tuhánún, thwánún",,2pl_o,2nd plural transitive object,,,,jadg1238,Burton1849
"tusádá, tuhádá, thwádá",,2pl_p,2nd plural possessive,,,,jadg1238,Burton1849
"uha, uh, wuh",,3sg_m_a,3rd singular gender1 transitive subject,,,,jadg1238,Burton1849
"uha, uh, wuh",,3sg_m_s,3rd singular gender1 intransitive subject,,,,jadg1238,Burton1849
"usnún, uhnún, uskon, unhkon",,3sg_m_o,3rd singular gender1 transitive object,,,,jadg1238,Burton1849
"usadá, uhdá, ohdá",,3sg_m_p,3rd singular gender1 possessive,,,,jadg1238,Burton1849
"uha, uh, wuh",,3sg_f_a,3rd singular gender2 transitive subject,,,,jadg1238,Burton1849
"uha, uh, wuh",,3sg_f_s,3rd singular gender2 intransitive subject,,,,jadg1238,Burton1849
"usnún, uhnún, uskon, unhkon",,3sg_f_o,3rd singular gender2 transitive object,,,,jadg1238,Burton1849
"usadá, uhdá, ohdá",,3sg_f_p,3rd singular gender2 possessive,,,,jadg1238,Burton1849
"uhe, unhán",,3d-a,3rd dual transitive subject,,,,jadg1238,Burton1849
"uhe, unhán",,3d-s,3rd dual intransitive subject,,,,jadg1238,Burton1849
"unhánún, unkon, wánkon",,3d-o,3rd dual transitive object,,,,jadg1238,Burton1849
"uhíndá, unadá, unhadá, unhándá, uhándá, uwándá, wándá",,3d-p,3rd dual possessive,,,,jadg1238,Burton1849
"uhe, unhán",,3p-a,3rd plural transitive subject,,,,jadg1238,Burton1849
"uhe, unhán",,3p-s,3rd plural intransitive subject,,,,jadg1238,Burton1849
"unhánún, unkon, wánkon",,3p-o,3rd plural transitive object,,,,jadg1238,Burton1849
"uhíndá, unadá, unhadá, unhándá, uhándá, uwándá, wándá",,3p-p,3rd plural possessive,,,,jadg1238,Burton1849
