word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
omo,,1sg_a,1st singular transitive subject,,,,,nucl1594,Peckham1982
omo,,1sg_s,1st singular intransitive subject,,,,,nucl1594,Peckham1982
omo,,1sg_o,1st singular transitive object,,,Examples of free pronouns in the source all appear in subject position. The source does not specifically say whether free pronouns may be used as objects or not. ,,nucl1594,Peckham1982
o-,,1sg_p,1st singular possessive,,,"Inalienable possession is marked by pronominal prefixes attaching to the possessed item. Alienable possession is marked by pronominal prefixes attaching to a 'have verb' ""bae"". ",,nucl1594,Peckham1982
eeme,,12du_a,1st dual inclusive transitive subject,,,,,nucl1594,Peckham1982
eeme,,12du_s,1st dual inclusive intransitive subject,,,,,nucl1594,Peckham1982
eeme,,12du_o,1st dual inclusive transitive object,,,,,nucl1594,Peckham1982
ee-,,12du_p,1st dual inclusive possessive,,,,,nucl1594,Peckham1982
eeme,,1du_a,1st dual exclusive transitive subject,,,,,nucl1594,Peckham1982
eeme,,1du_s,1st dual exclusive intransitive subject,,,,,nucl1594,Peckham1982
eeme,,1du_o,1st dual exclusive transitive object,,,,,nucl1594,Peckham1982
ee-,,1du_p,1st dual exclusive possessive,,,,,nucl1594,Peckham1982
eeme,,12pl_a,1st plural inclusive transitive subject,,,,,nucl1594,Peckham1982
eeme,,12pl_s,1st plural inclusive intransitive subject,,,,,nucl1594,Peckham1982
eeme,,12pl_o,1st plural inclusive transitive object,,,,,nucl1594,Peckham1982
ee-,,12pl_p,1st plural inclusive possessive,,,,,nucl1594,Peckham1982
eeme,,1pl_a,1st plural exclusive transitive subject,,,,,nucl1594,Peckham1982
eeme,,1pl_s,1st plural exclusive intransitive subject,,,,,nucl1594,Peckham1982
eeme,,1pl_o,1st plural exclusive transitive object,,,,,nucl1594,Peckham1982
ee-,,1pl_p,1st plural exclusive possessive,,,,,nucl1594,Peckham1982
neme,,2sg_a,2nd singular transitive subject,,,,,nucl1594,Peckham1982
neme,,2sg_s,2nd singular intransitive subject,,,,,nucl1594,Peckham1982
neme,,2sg_o,2nd singular transitive object,,,,,nucl1594,Peckham1982
ne-,,2sg_p,2nd singular possessive,,,,,nucl1594,Peckham1982
eme,,2du_a,2nd dual transitive subject,,,,,nucl1594,Peckham1982
eme,,2du_s,2nd dual intransitive subject,,,,,nucl1594,Peckham1982
eme,,2du_o,2nd dual transitive object,,,,,nucl1594,Peckham1982
e-,,2du_p,2nd dual possessive,,,,,nucl1594,Peckham1982
eme,,2pl_a,2nd plural transitive subject,,,,,nucl1594,Peckham1982
eme,,2pl_s,2nd plural intransitive subject,,,,,nucl1594,Peckham1982
eme,,2pl_o,2nd plural transitive object,,,,,nucl1594,Peckham1982
e-,,2pl_p,2nd plural possessive,,,,,nucl1594,Peckham1982
nani,,3sg_m_a,3rd singular gender1 transitive subject,,,,,nucl1594,Peckham1982
nani,,3sg_m_s,3rd singular gender1 intransitive subject,,,,,nucl1594,Peckham1982
nani,,3sg_m_o,3rd singular gender1 transitive object,,,,,nucl1594,Peckham1982
na-,,3sg_m_p,3rd singular gender1 possessive,,,,,nucl1594,Peckham1982
nani,,3sg_f_a,3rd singular gender2 transitive subject,,,,,nucl1594,Peckham1982
nani,,3sg_f_s,3rd singular gender2 intransitive subject,,,,,nucl1594,Peckham1982
nani,,3sg_f_o,3rd singular gender2 transitive object,,,,,nucl1594,Peckham1982
na-,,3sg_f_p,3rd singular gender2 possessive,,,,,nucl1594,Peckham1982
na'en,,3d-a,3rd dual transitive subject,,,,,nucl1594,Peckham1982
na'en,,3d-s,3rd dual intransitive subject,,,,,nucl1594,Peckham1982
na'en,,3d-o,3rd dual transitive object,,,,,nucl1594,Peckham1982
ne-,,3d-p,3rd dual possessive,,,,,nucl1594,Peckham1982
na'en,,3p-a,3rd plural transitive subject,,,,,nucl1594,Peckham1982
na'en,,3p-s,3rd plural intransitive subject,,,,,nucl1594,Peckham1982
na'en,,3p-o,3rd plural transitive object,,,,,nucl1594,Peckham1982
ne-,,3p-p,3rd plural possessive,,,,,nucl1594,Peckham1982
,,3du_m_a,3rd dual gender1 transitive subject,,,,,nucl1594,Peckham1982
,,3du_m_s,3rd dual gender1 intransitive subject,,,,,nucl1594,Peckham1982
,,3du_m_o,3rd dual gender1 transitive object,,,,,nucl1594,Peckham1982
,,3du_m_p,3rd dual gender1 possessive,,,,,nucl1594,Peckham1982
,,3du_f_a,3rd dual gender2 transitive subject,,,,,nucl1594,Peckham1982
,,3du_f_s,3rd dual gender2 intransitive subject,,,,,nucl1594,Peckham1982
,,3du_f_o,3rd dual gender2 transitive object,,,,,nucl1594,Peckham1982
,,3du_f_p,3rd dual gender2 possessive,,,,,nucl1594,Peckham1982
,,3du_n_a,3rd dual gender3 transitive subject,,,,,nucl1594,Peckham1982
,,3du_n_s,3rd dual gender3 intransitive subject,,,,,nucl1594,Peckham1982
,,3du_n_o,3rd dual gender3 transitive object,,,,,nucl1594,Peckham1982
,,3du_n_p,3rd dual gender3 possessive,,,,,nucl1594,Peckham1982
,,3pl_m_a,3rd plural gender1 transitive subject,,,,,nucl1594,Peckham1982
,,3pl_m_s,3rd plural gender1 intransitive subject,,,,,nucl1594,Peckham1982
,,3pl_m_o,3rd plural gender1 transitive object,,,,,nucl1594,Peckham1982
,,3pl_m_p,3rd plural gender1 possessive,,,,,nucl1594,Peckham1982
,,3pl_f_a,3rd plural gender2 transitive subject,,,,,nucl1594,Peckham1982
,,3pl_f_s,3rd plural gender2 intransitive subject,,,,,nucl1594,Peckham1982
,,3pl_f_o,3rd plural gender2 transitive object,,,,,nucl1594,Peckham1982
,,3pl_f_p,3rd plural gender2 possessive,,,,,nucl1594,Peckham1982
,,3pl_n_a,3rd plural gender3 transitive subject,,,,,nucl1594,Peckham1982
,,3pl_n_s,3rd plural gender3 intransitive subject,,,,,nucl1594,Peckham1982
,,3pl_n_o,3rd plural gender3 transitive object,,,,,nucl1594,Peckham1982
,,3pl_n_p,3rd plural gender3 possessive,,,,,nucl1594,Peckham1982
,,3sg_n_a,3rd singular gender3 transitive subject,,,,,nucl1594,Peckham1982
,,3sg_n_s,3rd singular gender3 intransitive subject,,,,,nucl1594,Peckham1982
,,3sg_n_o,3rd singular gender3 transitive object,,,,,nucl1594,Peckham1982
,,3sg_n_p,3rd singular gender3 possessive,,,,,nucl1594,Peckham1982
